Sl No,product_name,product_imageSRC,product_price_in_inr,product_rating,product_total_ratings,product_total_reviews,product_discount,processor,ram,os,storage,display
45,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/t/y/-enriched-transparent-original-imahg53xspmfrsdd.png?q=70,55311.0,4.4,19735,2048,29,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
46,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/q/k/o/-enriched-transparent-original-imahg53xmzmtsynn.png?q=70,51990.0,4.4,93,8,10,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
47,Acer Aspire Intel Core i5 12th Gen 12450H - (12 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/a/o/-original-imah7tknwg7brmfv.jpeg?q=70,59990.0,4.1,37,3,6,Intel Core i5 Processor (12th Gen),12 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
48,ASUS ExpertBook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/0/p/-enriched-transparent-original-imahg53ukzn9grvv.png?q=70,85990.0,4.3,799,76,32,Intel Core i7 Processor (13th Gen),32 GB DDR5 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 Inch) Display
49,Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/2/e/-original-imahzcf3jkkjkhgc.jpeg?q=70,82951.0,4.6,3519,289,13,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
50,Acer One 14 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) Z2-493 Thin and Light Lapt...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/k/b/w/-original-imahg5fxj8f6hf4n.jpeg?q=70,47990.0,3.7,1843,112,15,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display
51,Samsung Galaxy Book5 360 Next Gen AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/d/x/-original-imahzbehhvuhdzhf.jpeg?q=70,113999.0,4.5,86,9,39,Intel Core Ultra 5 Processor,16 GB LPDDR5X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Touchscreen Display
52,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ133WS | ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/h/n/k/-enriched-transparent-original-imahg4v5hsk5pm8h.png?q=70,46990.0,4.2,580,42,21,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
53,ASUS Vivobook Go 14 (2026) with Office 2024 + M365 Basic AMD Ryzen 3 Quad Core 30 - (8 GB/512 GB SSD/W...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/y/s/-original-imahhnkfvg58vq22.jpeg?q=70,48990.0,4.3,19735,2048,29,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,35.56 cm (14 inch) Display
54,HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/e/k/-enriched-transparent-original-imahg52nyjnkbrfx.png?q=70,72718.0,4.3,7,1,12,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display
